,Unnamed: 0,zip,latitude,longitude,city,state,county,name,Weather_Stations,Start_date,End_date,AVG_TEMP,AVG_MIN_TEMP,AVG_MAX_TEMP,AVG_PRECIPITATION
74,74,91406,33.7866,-118.29899999999999,Van Nuys,CA,Los Angeles,10102774 - Jet Aviation,KTOA0,2019-03-04,2019-07-19,9.995161290322581,5.04,14.950483870967743,3.7185483870967744
75,75,60605,41.8119,-87.6872,Chicago,IL,Cook,BW_Hackathon_2019,72534,2019-10-04,2019-10-07,14.325,9.45,18.9,2.675
76,76,75605,32.5057,-94.7188,Longview,TX,Gregg,10103445-Dollar_General_Longview,72247,2018-11-27,2019-01-01,9.944444444444445,4.991666666666666,15.152777777777779,6.352777777777778
77,77,92651,33.5209,-117.741,Laguna Beach,CA,Orange,10104069-Project_Cherry,69014,2018-09-04,2019-08-15,9.944444444444445,4.991666666666666,15.152777777777779,6.352777777777778
78,78,48342,42.6942,-83.2885,Pontiac,MI,Oakland,10104894 - Amazon AMZL Pontiac MI,KPTK0,2019-10-21,2020-07-30,1.1451807228915662,-2.486144578313253,4.751807228915663,0.03795180722891567
79,79,63114,38.7023,-90.3644,Saint Louis,MO,Saint Louis,VDC-Testing Ground,KCPS0,1915-01-01,2015-01-01,13.383741855414211,8.042631089047472,18.937046230220293,0.2792429413589823
80,80,37321,35.5564,-84.9792,Dayton,TN,Rhea,10103436 - Project Dayton Field2.0,KMMI0,2017-11-13,2019-11-13,13.383741855414211,8.042631089047472,18.937046230220293,0.2792429413589823
81,81,43062,40.0149,-82.6243,Pataskala,OH,Licking,10103738 - Kohl's Project 66,KVTA0,2018-08-06,2019-04-15,8.256224899598394,3.791967871485944,13.067871485943774,0.39076305220883534
82,82,63105,38.6459,-90.3264,Saint Louis,MO,Saint Louis,10103730 - Centene Hanley Tower TI,KCPS0,2018-11-20,2019-11-20,13.142450142450143,8.191168091168091,18.451851851851853,0.394017094017094
83,83,37309,35.3228,-84.7364,Calhoun,TN,Mcminn,10103287-Resolute_Forest_Products,KRZR0,2017-12-15,2018-08-01,13.142450142450143,8.191168091168091,18.451851851851853,0.394017094017094
84,84,60602,41.8119,-87.6872,Chicago,IL,Cook,10103255 - Macy's Chicago,72534,2018-06-18,2019-12-01,12.65827067669173,8.429135338345864,17.120676691729322,3.725751879699248
85,85,60607,41.9289,-87.8138,Chicago,IL,Cook,10103648 - 215 Peoria,72530,2018-10-29,2019-10-31,9.809782608695652,5.435597826086957,14.291304347826086,3.6709239130434783
86,86,16802,40.7997,-77.8623,University Park,PA,Centre,10103714 - PSU West Campus Garage,KUNV0,2018-09-05,2019-12-31,10.754545454545454,6.505194805194805,15.398441558441558,0.0
87,87,57108,43.5504,-96.6969,Sioux Falls,SD,Minnehaha,10103283-CITI_Sioux_Falls,72651,2017-11-01,2019-06-27,5.597019867549669,0.04966887417218541,10.878476821192052,2.543211920529801
88,88,29334,34.9354,-81.9925,Duncan,SC,Spartanburg,10103308 - Inland 85 Building A,KSPA0,2018-08-09,2018-12-31,5.597019867549669,0.04966887417218541,10.878476821192052,2.543211920529801
89,89,44128,41.4394,-81.5339,Cleveland,OH,Cuyahoga,10103191-Project_Goliath,KCGF0,2017-08-21,2018-08-21,5.597019867549669,0.04966887417218541,10.878476821192052,2.543211920529801
90,90,36615,30.6411,-88.0622,Mobile,AL,Mobile,10102922-Blue_Marlin,KBFM0,2018-01-22,2018-11-12,23.12272727272727,18.902797202797203,27.818531468531468,0.6748251748251748
91,91,60606,41.8119,-87.6872,Chicago,IL,Cook,10102675-Willis Tower Repositioning,72534,2017-02-01,2020-01-01,11.50206572769953,7.1630046948356805,16.09887323943662,3.3513615023474177
92,92,37421,35.0405,-85.1538,Chattanooga,TN,Hamilton,10104583_Volkswagen,72324,2019-09-01,2020-10-01,13.737899543378996,8.323744292237443,19.67716894977169,5.058447488584475
93,93,30303,33.7525,-84.39200000000001,Atlanta,GA,Fulton,10102944 - SCAD Atlanta,KFTY0,2017-10-04,2017-12-31,12.169767441860465,6.9,18.165116279069768,0.011627906976744186
94,94,63114,38.7023,-90.3644,Saint Louis,MO,Saint Louis,LJC Training Project,KCPS0,2018-12-05,2019-12-31,12.569148936170214,7.5683510638297875,17.921808510638296,0.4029255319148936
95,95,63113,38.6301,-90.2532,Saint Louis,MO,Saint Louis City,BIM360_VDC-Helpdesk_2018,KCPS0,2017-08-11,2018-08-01,13.688285714285714,8.073714285714285,19.48485714285714,0.17914285714285716
96,96,95837,38.6929,-121.603,Sacramento,CA,Sacramento,10104833 - Project First Base,KSMF0,2019-09-30,2020-05-25,11.614594594594594,6.114594594594594,17.98918918918919,0.05351351351351351
97,97,53158,42.5293,-87.8854,Pleasant Prairie,WI,Kenosha,10104797 - Bluepoint Offsite Work,KENW0,2019-10-04,2020-07-01,1.964327485380117,-1.9672514619883041,5.814035087719298,0.16666666666666666
98,98,98327,47.0909,-122.65700000000001,Dupont,WA,Pierce,10104681 - DuPont Kimberly Clark TI,74207,2019-07-01,2019-12-31,15.635087719298246,10.719298245614034,20.719298245614034,0.0
99,99,18403,41.4876,-75.5334,Archbald,PA,Lackawanna,10104676 - Archbald,KMPO0,2019-08-12,2020-05-29,5.103508771929825,0.9701754385964912,9.158771929824562,0.07719298245614035
100,100,98516,47.1126,-122.779,Olympia,WA,Thurston,10104658 - Hawks Prairie Building 1,74207,2019-06-17,2020-06-01,10.074496644295301,5.684563758389261,14.563758389261745,0.0
101,101,8056,39.7879,-75.2467,Mickleton,NJ,Gloucester,10104487 - Harmony Road,72408,2019-09-16,2020-05-20,8.613725490196078,4.137745098039216,13.080882352941176,2.4818627450980393
102,102,8056,39.7879,-75.2467,Mickleton,NJ,Gloucester,10104480 - Huff Road,72408,2019-09-30,2020-05-15,7.646315789473684,3.2494736842105265,12.00157894736842,2.5773684210526318
103,103,98848,47.1822,-119.75399999999999,Quincy,WA,Grant,10104627 Quincy MWH06,72790,2019-08-15,2020-08-25,6.669361702127659,0.9246808510638298,12.00468085106383,0.3893617021276596
104,104,66030,38.815,-94.9414,Gardner,KS,Johnson,10104465 - Inland Port VII,72447,2019-09-30,2020-05-01,5.198421052631579,-0.24947368421052626,10.794736842105264,1.788421052631579
105,105,35808,34.6776,-86.6121,Huntsville,AL,Madison,10104747 - MSFC Engine Test Facility,74001,2019-07-07,2021-03-31,14.431891891891892,9.631351351351352,19.82054054054054,0.0
106,106,60601,41.8119,-87.6872,Chicago,IL,Cook,10104379 - Clayco Chicago Office Updates,72534,2019-07-11,2020-07-11,9.445756457564576,5.4527675276752765,13.644280442804428,2.8793357933579338
107,107,45377,39.889,-84.2422,Vandalia,OH,Montgomery,10104224-Chewy,72429,2018-10-01,2019-08-01,10.102295081967213,5.460327868852459,14.865901639344262,3.720327868852459
108,108,28146,35.6187,-80.4021,Salisbury,NC,Rowan,10104186 - Project Kodiak,KRUQ0,2019-06-17,2020-03-20,15.009012875536481,9.581115879828326,20.712875536480688,0.0
